teryt_powiat,powiat,rok,typ,miara,populacja,zrodlo_var_id,zrodlo_url,pobrano
011212262000,Powiat m. Nowy Sącz,2016,historyczny,wiek_poprodukcyjny,16637,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212262000,Powiat m. Nowy Sącz,2017,historyczny,wiek_poprodukcyjny,17118,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212262000,Powiat m. Nowy Sącz,2018,historyczny,wiek_poprodukcyjny,17642,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212262000,Powiat m. Nowy Sącz,2019,historyczny,wiek_poprodukcyjny,18097,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212262000,Powiat m. Nowy Sącz,2020,historyczny,wiek_poprodukcyjny,18174,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212262000,Powiat m. Nowy Sącz,2021,historyczny,wiek_poprodukcyjny,18355,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212262000,Powiat m. Nowy Sącz,2022,historyczny,wiek_poprodukcyjny,18777,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212262000,Powiat m. Nowy Sącz,2023,historyczny,wiek_poprodukcyjny,19228,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212262000,Powiat m. Nowy Sącz,2024,historyczny,wiek_poprodukcyjny,19578,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212303000,Powiat chrzanowski,2015,historyczny,wiek_poprodukcyjny,26465,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212303000,Powiat chrzanowski,2016,historyczny,wiek_poprodukcyjny,27153,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212303000,Powiat chrzanowski,2017,historyczny,wiek_poprodukcyjny,28059,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212303000,Powiat chrzanowski,2018,historyczny,wiek_poprodukcyjny,28867,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212303000,Powiat chrzanowski,2019,historyczny,wiek_poprodukcyjny,29586,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212303000,Powiat chrzanowski,2020,historyczny,wiek_poprodukcyjny,29894,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212303000,Powiat chrzanowski,2021,historyczny,wiek_poprodukcyjny,30176,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
