id,typ,city,name,status,old_website,new_website,action
328,GOPS,herby,"Gminny Ośrodek Pomocy Społecznej w Herbach",FOUND_NEW,,https://gopsherby.pl,INSERT
329,GOPS,kochanowice,"Gminny Ośrodek Pomocy Społecznej w Kochanowicach",FOUND_NEW,,https://gops.kochanowice.pl,INSERT
332,GOPS,pawonkow,"Gminny Ośrodek Pomocy Społecznej w Pawonkowie",FOUND_NEW,,https://pawonkow.naszops.pl,INSERT
336,GOPS,ornontowice,"Gminny Ośrodek Pomocy Społecznej w  Ornontowicach",FOUND_NEW,,https://gops.ornontowice.pl,INSERT
342,GOPS,niegowa,"Gminny Ośrodek Pomocy Społecznej w Niegowie",FOUND_NEW,,https://gopsniegowa.pl,INSERT
349,GOPS,pawlowice,"Ośrodek Pomocy Społecznej w Pawłowicach",FOUND_NEW,,https://ops.pawlowice.pl,INSERT
351,GOPS,suszec,"Gminny Ośrodek Pomocy Społecznej w Suszcu",FOUND_NEW,,https://gopssuszec.pl,INSERT
352,GOPS,kornowac,"Ośrodek Pomocy społecznej w Kornowacu",FOUND_NEW,,https://ops.kornowac.pl,INSERT
354,GOPS,tworkow,"Ośrodek Pomocy Społecznej Krzyżanowice zs. w Tworkowie",FOUND_NEW,,https://ops.krzyzanowice.pl,INSERT
362,GOPS,gaszowice,"Ośrodek Pomocy Społecznej w Gaszowicach",FOUND_NEW,,https://ops.gaszowice.pl,INSERT
363,GOPS,jejkowice,"Ośrodek Pomocy Społecznej w Jejkowicach",FOUND_NEW,,https://jejkowice.naszops.pl,INSERT
364,GOPS,lyski,"Ośrodek Pomocy Społecznej w Lyskach",FOUND_NEW,,https://ops.lyski.pl,INSERT
365,GOPS,swierklany,"Gminny Ośrodek Pomocy Społecznej w Świerklanach",FOUND_NEW,,https://ops.swierklany.pl,INSERT
368,MOPS,sosnowiec,"Miejski Ośrodek Pomocy Społecznej w Sosnowcu",FOUND_NEW,,https://mopssosnowiec.pl,INSERT
369,GOPS,swietochlowice,"Ośrodek Pomocy Społecznej w Świętochłowicach",FOUND_NEW,,https://ops.swietochlowice.pl,INSERT
373,GOPS,ozarowice,"Ośrodek Pomocy Społecznej w Ożarowicach",FOUND_NEW,,https://ops.ozarowice.pl,INSERT
374,GOPS,radzionkow,"Ośrodek Pomocy Społecznej w Radzionkowie",FOUND_NEW,,https://gops.radzionkow.pl,INSERT
375,GOPS,naklo slaskie,"Ośrodek Pomocy Społecznej w Świerklańcu zs. w Nakle Śląskim",FOUND_NEW,,https://swierklaniec.naszops.pl,INSERT
377,GOPS,tworog,"Gminny Ośrodek Pomocy Społecznej w Tworogu",FOUND_NEW,,https://gops.tworog.pl,INSERT
380,GOPS,godow,"Gminny Ośrodek Pomocy Społecznej w Godowie",FOUND_NEW,,https://gops.godow.pl,INSERT
381,GOPS,gorzyce,"Ośrodek Pomocy Społecznej w Gorzycach",FOUND_NEW,,https://gopsgorzyce.pl,INSERT
383,GOPS,marklowice,"Ośrodek Pomocy Społecznej w Marklowicach",FOUND_NEW,,https://ops.marklowice.pl,INSERT
384,GOPS,polomia,"Ośrodek Pomocy Społecznej w Mszanie",FOUND_NEW,,https://gops.mszana.pl,INSERT
385,GOPS,pszow,"Ośrodek Pomocy Społecznej w Pszowie",FOUND_NEW,,https://ops.pszow.pl,INSERT
386,GOPS,radlin,"Ośrodek Pomocy Społecznej w Radlinie",FOUND_NEW,,https://gops.radlin.pl,INSERT
390,GOPS,irzadze,"Gminny Ośrodek Pomocy Społecznej w Irządzach",FOUND_NEW,,https://gops.irzadze.pl,INSERT
391,GOPS,kroczyce,"Gminny Ośrodek Pomocy Społecznej w Kroczycach",FOUND_NEW,,https://gopskroczyce.pl,INSERT
395,MOPS,poreba,"Miejski Ośrodek Pomocy Społecznej w Porębie",FOUND_NEW,,https://mopsporeba.pl,INSERT
397,GOPS,wlodowice,"Gminny Ośrodek Pomocy Społecznej we Włodowicach",FOUND_NEW,,https://gopswlodowice.pl,INSERT
398,MOPS,zawiercie,"Miejski Ośrodek Pomocy Społecznej w Zawierciu",FOUND_NEW,,https://mopszawiercie.pl,INSERT
399,GOPS,zarnowiec,"Ośrodek Pomocy Społecznej w Żarnowcu",FOUND_NEW,,https://ops.zarnowiec.pl,INSERT
405,GOPS,lekawica,"Gminny Ośrodek Pomocy Społecznej w Łękawicy",FOUND_NEW,,https://lekawica.naszops.pl,INSERT
