teryt_powiat,powiat,rok,typ,miara,populacja
011216915000,Powiat suski,2022,historyczny,wiek_poprodukcyjny_ogołem,16798
011216915000,Powiat suski,2023,historyczny,wiek_poprodukcyjny_ogołem,17119
011216915000,Powiat suski,2024,historyczny,wiek_poprodukcyjny_ogołem,17436
011216917000,Powiat tatrzański,2015,historyczny,wiek_poprodukcyjny_ogołem,12715
011216917000,Powiat tatrzański,2016,historyczny,wiek_poprodukcyjny_ogołem,13004
011216917000,Powiat tatrzański,2017,historyczny,wiek_poprodukcyjny_ogołem,13373
011216917000,Powiat tatrzański,2018,historyczny,wiek_poprodukcyjny_ogołem,13706
011216917000,Powiat tatrzański,2019,historyczny,wiek_poprodukcyjny_ogołem,14029
011216917000,Powiat tatrzański,2020,historyczny,wiek_poprodukcyjny_ogołem,13960
011216917000,Powiat tatrzański,2021,historyczny,wiek_poprodukcyjny_ogołem,14067
011216917000,Powiat tatrzański,2022,historyczny,wiek_poprodukcyjny_ogołem,14336
011216917000,Powiat tatrzański,2023,historyczny,wiek_poprodukcyjny_ogołem,14716
011216917000,Powiat tatrzański,2024,historyczny,wiek_poprodukcyjny_ogołem,15065
011212001000,Powiat bocheński,2025,prognoza,65plus_ogołem,19200
011212006000,Powiat krakowski,2025,prognoza,65plus_ogołem,53684
011212008000,Powiat miechowski,2025,prognoza,65plus_ogołem,11028
011212009000,Powiat myślenicki,2025,prognoza,65plus_ogołem,21735
011212014000,Powiat proszowicki,2025,prognoza,65plus_ogołem,8825
011212019000,Powiat wielicki,2025,prognoza,65plus_ogołem,23294
011212161000,Powiat m. Kraków,2025,prognoza,65plus_ogołem,159267
011212205000,Powiat gorlicki,2025,prognoza,65plus_ogołem,20672
011212207000,Powiat limanowski,2025,prognoza,65plus_ogołem,20305
011212210000,Powiat nowosądecki,2025,prognoza,65plus_ogołem,33346
011212262000,Powiat m. Nowy Sącz,2025,prognoza,65plus_ogołem,16937
011212303000,Powiat chrzanowski,2025,prognoza,65plus_ogołem,27685
011212312000,Powiat olkuski,2025,prognoza,65plus_ogołem,24893
011212313000,Powiat oświęcimski,2025,prognoza,65plus_ogołem,32157
011212318000,Powiat wadowicki,2025,prognoza,65plus_ogołem,29370
011212402000,Powiat brzeski,2025,prognoza,65plus_ogołem,16560
011212404000,Powiat dąbrowski,2025,prognoza,65plus_ogołem,10586
011212416000,Powiat tarnowski,2025,prognoza,65plus_ogołem,34696
011212463000,Powiat m. Tarnów,2025,prognoza,65plus_ogołem,25163
011216911000,Powiat nowotarski,2025,prognoza,65plus_ogołem,32832
011216915000,Powiat suski,2025,prognoza,65plus_ogołem,15297
011216917000,Powiat tatrzański,2025,prognoza,65plus_ogołem,12807
011212001000,Powiat bocheński,2030,prognoza,65plus_ogołem,20754
011212006000,Powiat krakowski,2030,prognoza,65plus_ogołem,58333
011212008000,Powiat miechowski,2030,prognoza,65plus_ogołem,11403
011212009000,Powiat myślenicki,2030,prognoza,65plus_ogołem,24296
011212014000,Powiat proszowicki,2030,prognoza,65plus_ogołem,9256
011212019000,Powiat wielicki,2030,prognoza,65plus_ogołem,25635
011212161000,Powiat m. Kraków,2030,prognoza,65plus_ogołem,157478
011212205000,Powiat gorlicki,2030,prognoza,65plus_ogołem,22381
011212207000,Powiat limanowski,2030,prognoza,65plus_ogołem,22864
011212210000,Powiat nowosądecki,2030,prognoza,65plus_ogołem,37843
011212262000,Powiat m. Nowy Sącz,2030,prognoza,65plus_ogołem,17877
011212303000,Powiat chrzanowski,2030,prognoza,65plus_ogołem,29063
011212312000,Powiat olkuski,2030,prognoza,65plus_ogołem,25400
011212313000,Powiat oświęcimski,2030,prognoza,65plus_ogołem,33689
011212318000,Powiat wadowicki,2030,prognoza,65plus_ogołem,31908
011212402000,Powiat brzeski,2030,prognoza,65plus_ogołem,18134
011212404000,Powiat dąbrowski,2030,prognoza,65plus_ogołem,11547
011212416000,Powiat tarnowski,2030,prognoza,65plus_ogołem,38600
011212463000,Powiat m. Tarnów,2030,prognoza,65plus_ogołem,25425
011216911000,Powiat nowotarski,2030,prognoza,65plus_ogołem,35919
011216915000,Powiat suski,2030,prognoza,65plus_ogołem,16696
011216917000,Powiat tatrzański,2030,prognoza,65plus_ogołem,13697
011212001000,Powiat bocheński,2035,prognoza,65plus_ogołem,21727
011212006000,Powiat krakowski,2035,prognoza,65plus_ogołem,62300
011212008000,Powiat miechowski,2035,prognoza,65plus_ogołem,11453
011212009000,Powiat myślenicki,2035,prognoza,65plus_ogołem,25989
011212014000,Powiat proszowicki,2035,prognoza,65plus_ogołem,9497
011212019000,Powiat wielicki,2035,prognoza,65plus_ogołem,27895
011212161000,Powiat m. Kraków,2035,prognoza,65plus_ogołem,155205
011212205000,Powiat gorlicki,2035,prognoza,65plus_ogołem,23252
011212207000,Powiat limanowski,2035,prognoza,65plus_ogołem,24836
011212210000,Powiat nowosądecki,2035,prognoza,65plus_ogołem,41395
011212262000,Powiat m. Nowy Sącz,2035,prognoza,65plus_ogołem,18097
011212303000,Powiat chrzanowski,2035,prognoza,65plus_ogołem,29133
011212312000,Powiat olkuski,2035,prognoza,65plus_ogołem,25058
011212313000,Powiat oświęcimski,2035,prognoza,65plus_ogołem,34369
011212318000,Powiat wadowicki,2035,prognoza,65plus_ogołem,33695
011212402000,Powiat brzeski,2035,prognoza,65plus_ogołem,19270
011212404000,Powiat dąbrowski,2035,prognoza,65plus_ogołem,12313
011212416000,Powiat tarnowski,2035,prognoza,65plus_ogołem,41754
011212463000,Powiat m. Tarnów,2035,prognoza,65plus_ogołem,25089
011216911000,Powiat nowotarski,2035,prognoza,65plus_ogołem,38512
011216915000,Powiat suski,2035,prognoza,65plus_ogołem,17761
011216917000,Powiat tatrzański,2035,prognoza,65plus_ogołem,14211
011212001000,Powiat bocheński,2040,prognoza,65plus_ogołem,23035
011212006000,Powiat krakowski,2040,prognoza,65plus_ogołem,68532
011212008000,Powiat miechowski,2040,prognoza,65plus_ogołem,11668
011212009000,Powiat myślenicki,2040,prognoza,65plus_ogołem,28169
011212014000,Powiat proszowicki,2040,prognoza,65plus_ogołem,9802
011212019000,Powiat wielicki,2040,prognoza,65plus_ogołem,31118
011212161000,Powiat m. Kraków,2040,prognoza,65plus_ogołem,160322
011212205000,Powiat gorlicki,2040,prognoza,65plus_ogołem,24156
011212207000,Powiat limanowski,2040,prognoza,65plus_ogołem,26894
011212210000,Powiat nowosądecki,2040,prognoza,65plus_ogołem,45020
011212262000,Powiat m. Nowy Sącz,2040,prognoza,65plus_ogołem,18496
011212303000,Powiat chrzanowski,2040,prognoza,65plus_ogołem,29531
011212312000,Powiat olkuski,2040,prognoza,65plus_ogołem,25519
011212313000,Powiat oświęcimski,2040,prognoza,65plus_ogołem,35321
011212318000,Powiat wadowicki,2040,prognoza,65plus_ogołem,35887
011212402000,Powiat brzeski,2040,prognoza,65plus_ogołem,20609
011212404000,Powiat dąbrowski,2040,prognoza,65plus_ogołem,13081
011212416000,Powiat tarnowski,2040,prognoza,65plus_ogołem,44880
011212463000,Powiat m. Tarnów,2040,prognoza,65plus_ogołem,25042
011216911000,Powiat nowotarski,2040,prognoza,65plus_ogołem,41314
011216915000,Powiat suski,2040,prognoza,65plus_ogołem,18916
011216917000,Powiat tatrzański,2040,prognoza,65plus_ogołem,14797
