id,nazwa,typ,typ_krotki,ulica,miejscowosc,kod_pocztowy,powiat,wojewodztwo,latitude,longitude,liczba_miejsc,koszt_pobytu,profil_opieki,telefon,www
279,Dzienny Dom Senior+ — Raciechowice,Dzienny Dom Senior+,DD Senior+,Raciechowice 197,Raciechowice,32-415,myślenicki,małopolskie,49.8444432,20.1375198,20,,,12 372 52 11,
264,Dzienny Dom Senior+ — Korzenna,Dzienny Dom Senior+,DD Senior+,Mogilno 14,Mogilno,33-326,nowosądecki,małopolskie,49.6541845,20.8291757,15,,,18 440 66 24,
276,Dzienny Dom Senior+ — Podegrodzie,Dzienny Dom Senior+,DD Senior+,Podegrodzie 170,Podegrodzie,33-386,nowosądecki,małopolskie,49.5761014,20.5889551,22,,,"18 355 19 09, 537 773 537",
244,Dzienny Dom Senior+ — Klucze,Dzienny Dom Senior+,DD Senior+,"ul. Leśna 1, Chechło",Klucze,32-310,olkuski,małopolskie,50.3351358,19.5608326,25,,,"32 642 84 67, 723 25 81",
275,Dzienny Dom Senior+ — Olkusz,Dzienny Dom Senior+,DD Senior+,ul. Żuradzka 16,Olkusz,32-300,olkuski,małopolskie,50.2788158,19.5596307,30,,,32 643 08 20,
213,Dzienny Dom Senior+ — Brzeszcze,Dzienny Dom Senior+,DD Senior+,ul. Bielska 2,Jawiszowice,32-626,oświęcimski,małopolskie,49.96214,19.1394723,15,,,"32 666 10 03, 510 872 701",
243,Dzienny Dom Senior+ — Kęty,Dzienny Dom Senior+,DD Senior+,ul. Sobieskiego 36,Kęty,32-650,oświęcimski,małopolskie,49.882908,19.2239362,20,,,"33 432 26 82, 790 700 458",
248,Dzienny Dom Senior+ — Koszyce,Dzienny Dom Senior+,DD Senior+,Książnice Małe 45,Koszyce,32-130,proszowicki,małopolskie,50.17385,20.5337054,25,,,697584667,
277,Dzienny Dom Senior+ — Proszowice,Dzienny Dom Senior+,DD Senior+,ul. Kolejowa 4,Proszowice,32-100,proszowicki,małopolskie,50.1926479,20.2917555,30,,,12 654 15 90,
259,Dzienny Dom Senior+ — Maków Podhalański,Dzienny Dom Senior+,DD Senior+,ul. Kolejowa 11,Maków Podhalański,34-220,suski,małopolskie,49.7298971,19.6768803,15,,,33 822 59 99,
216,Dzienny Dom Senior+ — Ciężkowice,Dzienny Dom Senior+,DD Senior+,Ostrusza 28,Ciężkowice,33-190,tarnowski,małopolskie,49.7682167,21.0054411,20,,,"728 956 743, 728 956 743",
217,Dzienny Dom Senior+ — Ciężkowice,Dzienny Dom Senior+,DD Senior+,Ciężkowice 36,Ciężkowice,33-192,tarnowski,małopolskie,49.786464,20.9737542,15,,,728956435,
294,Dzienny Dom Senior+ — Szerzyny,Dzienny Dom Senior+,DD Senior+,Ołpiny 368,Ołpiny,38-247,tarnowski,małopolskie,49.8065566,21.2033305,15,,,14 692 01 20,
296,Dzienny Dom Senior+ — Tarnów,Dzienny Dom Senior+,DD Senior+,Nowodworze 70 B,Tarnowiec,33-112,tarnowski,małopolskie,49.9822697,20.9857897,15,,,"575 615 355, 14 688 01 52",
214,Dzienny Dom Senior+ — Brzeźnica,Dzienny Dom Senior+,DD Senior+,ul. Św. Jana Pawła II 2,Marcyporęba,34-114,wadowicki,małopolskie,49.94122,19.6176543,15,,,500154836,
268,Dzienny Dom Senior+ — Mucharz,Dzienny Dom Senior+,DD Senior+,Świnna Poręba 111,Mucharz,34-106,wadowicki,małopolskie,49.8336855,19.5168922,15,,,33 47 66 296,
301,Dzienny Dom Senior+ — Wieprz,Dzienny Dom Senior+,DD Senior+,Podgórze 18,Wieprz,34-122,wadowicki,małopolskie,49.8837396,19.3564277,20,,,"33 432 26 30, 509 597 149",
210,Klub Senior+ — Bochnia,Klub Senior+,Klub Senior+,Brzeźnica 168,Bochnia,32-700,bocheński,małopolskie,49.9579439,20.4906451,15,,,14 611 67 76,
251,Klub Senior+ — Rzezawa,Klub Senior+,Klub Senior+,ul. Św. Floriana 12,Krzeczów,32-700,bocheński,małopolskie,49.9890717,20.4866304,7,,,14 648 48 02,
283,Klub Senior+ — Rzezawa,Klub Senior+,Klub Senior+,ul. Kościelna 6,Rzezawa,32-765,bocheński,małopolskie,49.9900045,20.513614,15,,,14 648 48 02,
211,Klub Senior+ — Borzęcin,Klub Senior+,Klub Senior+,Borzęcin 562,Borzęcin,32-862,brzeski,małopolskie,50.0670841,20.706069,15,,,"14 684 60 32,  607 504 122",
220,Klub Senior+ — Dębno,Klub Senior+,Klub Senior+,Sufczyn 300,Dębno,32-852,brzeski,małopolskie,49.9563683,20.752161,15,,,"14 665 87 49, 731 135 581",
221,Klub Senior+ — Dębno,Klub Senior+,Klub Senior+,Dębno 69,Dębno,32-852,brzeski,małopolskie,49.9608262,20.7181789,15,,,"14 665 87 49, 607 682 051",
226,Klub Senior+ — Gnojnik,Klub Senior+,Klub Senior+,Gnojnik 430,Gnojnik,32-864,brzeski,małopolskie,49.8951381,20.6068853,15,,,503726386,
225,Klub Senior+ — Gnojnik,Klub Senior+,Klub Senior+,Lewniowa 249,Gnojnik,32-864,brzeski,małopolskie,49.8801224,20.6466735,20,,,"665 77 5751, 512 721 941",
292,Klub Senior+ — Szczurowa,Klub Senior+,Klub Senior+,Rudy Rysie 118,Szczurowa,32-820,brzeski,małopolskie,50.0609564,20.6376126,15,,,14 632 09 20,
291,Klub Senior+ — Szczurowa,Klub Senior+,Klub Senior+,Rynek 4,Szczurowa,32-820,brzeski,małopolskie,50.1192273,20.6368954,18,,,14 632 09 20,
293,Klub Senior+ — Szczurowa,Klub Senior+,Klub Senior+,Zaborów 63,Zaborów,32-820,brzeski,małopolskie,49.9140683,21.8278128,13,,,15 632 09 20,
230,Klub Senior+ — Gręboszów,Klub Senior+,Klub Senior+,Hubenice 2,Gręboszów,33-260,dąbrowski,małopolskie,50.2717143,20.8145021,17,,,14 641 60 27,
239,Klub Senior+ — Wietrzychowice,Klub Senior+,Klub Senior+,Jadowniki Mokre 105,Jadowniki Mokre,33-271,dąbrowski,małopolskie,50.165235,20.7287915,15,,,"14 641 81 50, 579 470 731",
281,Klub Senior+ — Radgoszcz,Klub Senior+,Klub Senior+,"ul. Jeziorańska 1, Smyków,",Luszowice,33-206,dąbrowski,małopolskie,50.1733961,19.402906,20,,,14 687 42 08,
290,Klub Senior+ — Szczucin,Klub Senior+,Klub Senior+,ul. Piłsudskiego 7,Szczucin,33-230,dąbrowski,małopolskie,50.3090256,21.075161,20,,,"18 266 25 93, 693 142 744",
303,Klub Senior+ — Wietrzychowice,Klub Senior+,Klub Senior+,Miechowice Wielkie 38,Wietrzychowice,33-270,dąbrowski,małopolskie,50.1892494,20.7431378,20,,,"14 641 81 50, 579 470 731",
205,Klub Senior+ — Biecz,Klub Senior+,Klub Senior+,Grudna Kępska 163,Biecz,38-340,gorlicki,małopolskie,49.7357877,21.2965438,20,,,781784956,
206,Klub Senior+ — Biecz,Klub Senior+,Klub Senior+,Binarowa 457,Biecz,38-340,gorlicki,małopolskie,49.7574429,21.2253924,20,,,781784956,
204,Klub Senior+ — Biecz,Klub Senior+,Klub Senior+,ul. Korczyna 213,Biecz,38-340,gorlicki,małopolskie,49.7305351,21.249421,20,,,781784956,
203,Klub Senior+ — Biecz,Klub Senior+,Klub Senior+,ul.Kazimierza Wielkiego 31,Biecz,38-340,gorlicki,małopolskie,49.7305351,21.249421,20,,,781784956,
209,Klub Senior+ — Bobowa,Klub Senior+,Klub Senior+,"Wilczyska 29, filia Siedliska 298",Bobowa,38-350,gorlicki,małopolskie,49.7081074,20.942002,70,,,18 353 75 74,
228,Klub Senior+ — Gorlice,Klub Senior+,Klub Senior+,Bystra 155,Gorlice,38-300,gorlicki,małopolskie,49.6543479,21.0946965,15,,,18 353 75 74,
229,Klub Senior+ — Gorlice (miasto),Klub Senior+,Klub Senior+,ul. 3 Maja 20,Gorlice,38-300,gorlicki,małopolskie,49.65829,21.1593832,20,,,666602146,
266,Klub Senior+ — Moszczenica,Klub Senior+,Klub Senior+,Św. Jana Pawła II 3,Moszczenica,38-321,gorlicki,małopolskie,49.7558078,21.0212837,20,,,18 354 12 40,
265,Klub Senior+ — Moszczenica,Klub Senior+,Klub Senior+,ul. Samorządowa 1,Moszczenica,38-321,gorlicki,małopolskie,49.9661,20.34681,13,,,"18 354 12 40, 515 850 720",
207,Klub Senior+ — Biecz,Klub Senior+,Klub Senior+,Racławice 219,Racławice,38-323,gorlicki,małopolskie,49.7490724,21.1930496,20,,,781784956,
208,Klub Senior+ — Biecz,Klub Senior+,Klub Senior+,Rożnowice 356,Rożnowice,38-323,gorlicki,małopolskie,49.7575304,21.1633007,20,,,781784956,
258,Klub Senior+ — Łużna,Klub Senior+,Klub Senior+,Łużna 597,Łużna,38-322,gorlicki,małopolskie,49.711794,21.0519517,25,,,603655166,
284,Klub Senior+ — Skała,Klub Senior+,Klub Senior+,Barbarka 16,Barbarka,32-046,krakowski,małopolskie,50.26248,19.89246,25,,,"509 597 149, 12 445 95 79 wew. 2",
235,Klub Senior+ — Igołomia-Wawrzeńczyce,Klub Senior+,Klub Senior+,Koźlica 37A,Igołomia  Wawrzeńczyce,32-125,krakowski,małopolskie,50.0738211,20.2432254,20,,,12 287 40 03 wew.202,
236,Klub Senior+ — Iwanowice,Klub Senior+,Klub Senior+,"Władysław 47, filia Klubu: Poskwitów 6C",Iwanowice,32-095,krakowski,małopolskie,50.2222622,19.9786383,50,,,12 388 40 03,
237,Klub Senior+ — Iwanowice,Klub Senior+,Klub Senior+,Damice 47,Iwanowice,32-095,krakowski,małopolskie,50.1991099,19.9499402,25,,,12 388 40 03,
246,Klub Senior+ — Kocmyrzów-Luborzyca,Klub Senior+,Klub Senior+,"ul. T. Kościuszki 103, Zastów",Kocmyrzów,32-010,krakowski,małopolskie,50.1316347,20.129335,20,,,12 382 11 10  788 170 851,
245,Klub Senior+ — Kocmyrzów-Luborzyca,Klub Senior+,Klub Senior+,ul. Centralna 115,Kocmyrzów,32-010,krakowski,małopolskie,50.1316347,20.129335,20,,,668804894,
249,Klub Senior+ — Kraków (miasto),Klub Senior+,Klub Senior+,Krowoderskich Zuchów 6,Kraków,31-272,krakowski,małopolskie,50.0861195,19.9314171,30,,,12 634 24 74,
252,Klub Senior+ — Krzeszowice,Klub Senior+,Klub Senior+,ul. Floriana 3,Krzeszowice,32-065,krakowski,małopolskie,50.1350246,19.6320164,30,,,511755944,
260,Klub Senior+ — Michałowice,Klub Senior+,Klub Senior+,"ul. Tadeusza Kościuszki 11, Masłomiąca",Michałowice,32-091,krakowski,małopolskie,50.1603193,19.9801697,25,,,12 388 87 70,
261,Klub Senior+ — Michałowice,Klub Senior+,Klub Senior+,"ul. Kadrowa 27, Młodziejowice",Michałowice,32-091,krakowski,małopolskie,50.1603193,19.9801697,20,,,12 388 87 70,
263,Klub Senior+ — Mogilany,Klub Senior+,Klub Senior+,ul. Krakowska 5,Mogilany,32-031,krakowski,małopolskie,49.9413293,19.8877676,20,,,533347719,
289,Klub Senior+ — Sułoszowa,Klub Senior+,Klub Senior+,ul. Krakowska 8,Sułoszowa,32-045,krakowski,małopolskie,50.2672276,19.7330471,30,,,531389386,
305,Klub Senior+ — Zabierzów,Klub Senior+,Klub Senior+,ul. Kolejowa 11,Zabierzów,32-080,krakowski,małopolskie,50.1146386,19.7993814,30,,,696836747,
295,Klub Senior+ — Świątniki Górne,Klub Senior+,Klub Senior+,"ul. Jagiellońska 11, Ochojno",Świątniki Górne,32-040,krakowski,małopolskie,49.9346365,19.9524965,25,,,573055501,
223,Klub Senior+ — Dobra,Klub Senior+,Klub Senior+,Porąbka 112,Dobra,34-642,limanowski,małopolskie,49.7264957,20.2126041,15,,,698877155,
240,Klub Senior+ — Jodłownik,Klub Senior+,Klub Senior+,Mstów 92,Jodłownik,34-620,limanowski,małopolskie,49.79251,20.24176,20,,,18 334 70 70,
267,Klub Senior+ — Mszana Dolna (miasto),Klub Senior+,Klub Senior+,ul. Piłsudskiego 58a,Mszana Dolna,34-730,limanowski,małopolskie,49.6810782,20.0764991,24,,,535130748,
285,Klub Senior+ — Dobra,Klub Senior+,Klub Senior+,Skrzydlna 355,Skrzydlna,34-625,limanowski,małopolskie,49.7543487,20.1774423,15,,,698877155,
257,Klub Senior+ — Łukowica,Klub Senior+,Klub Senior+,Roztoka 189,Łukowica,34-606,limanowski,małopolskie,49.623693,20.4589756,30,,,"18 333 50 66, 504 120 379",
321,MDDPS Klub Samopomocy Aktywizacyjny,Klub Senior+,Klub Senior+,ul. Bronowicka 19,Kraków,,m. Kraków,małopolskie,50.0770741,19.9036119,,,,,
316,MDDPS Klub Samopomocy,Klub Senior+,Klub Senior+,al. Marszałka Focha 39,Kraków,,m. Kraków,małopolskie,50.0569309,19.9121879,,,,,
322,MDDPS Klub Samopomocy Aktywizacyjny,Klub Senior+,Klub Senior+,ul. Gdańska 5,Kraków,,m. Kraków,małopolskie,50.0813139,19.9574121,,,,,
323,MDDPS Klub Samopomocy Specjalistyczny,Klub Senior+,Klub Senior+,os. Krakowiaków 2,Kraków,,m. Kraków,małopolskie,50.0815576,20.0348548,,,,,
314,MDDPS Klub Samopomocy,Klub Senior+,Klub Senior+,ul. Zapolskiej 15,Kraków,,m. Kraków,małopolskie,50.0772817,19.898019,,,,,
315,MDDPS Klub Samopomocy,Klub Senior+,Klub Senior+,ul. Zapolskiej 42,Kraków,,m. Kraków,małopolskie,50.0800998,19.8931266,,,,,
317,MDDPS Klub Samopomocy,Klub Senior+,Klub Senior+,ul. Św. Jana 18,Kraków,,m. Kraków,małopolskie,50.063776,19.9387785,,,,,
318,MDDPS Klub Samopomocy,Klub Senior+,Klub Senior+,ul. Facimiech 16,Kraków,,m. Kraków,małopolskie,50.0155485,19.9867306,,,,,
319,MDDPS Klub Samopomocy Aktywizacyjny,Klub Senior+,Klub Senior+,ul. Grzegórzecka 19,Kraków,,m. Kraków,małopolskie,50.0584722,19.9524289,,,,,
320,MDDPS Klub Samopomocy Aktywizacyjny,Klub Senior+,Klub Senior+,ul. Generała Okulickiego 51,Kraków,,m. Kraków,małopolskie,50.0932519,20.0217729,,,,,
273,Klub Senior+ — Nowy Sącz (miasto),Klub Senior+,Klub Senior+,ul. Szwedzka 2,Nowy Sącz,33-300,m. Nowy Sącz,małopolskie,49.6249173,20.691346,30,,,18 44 86 690,
297,Klub Senior+ — Tarnów (miasto),Klub Senior+,Klub Senior+,ul. Gumniska 25,Tarnów,33-100,m. Tarnów,małopolskie,50.0259883,20.9640584,27,,,14 688 20 80,
227,Klub Senior+ — Gołcza,Klub Senior+,Klub Senior+,Mostek 21,Gołcza,32-075,miechowski,małopolskie,50.3366806,19.8431765,30,,,12 38 86 411,
280,Klub Senior+ — Racławice,Klub Senior+,Klub Senior+,Miroszów 18,Racławice,32-222,miechowski,małopolskie,50.35082,20.27831,15,,,788874208,
270,Klub Senior+ — Myślenice,Klub Senior+,Klub Senior+,ul. Piłsudskiego 14,Myślenice,32-400,myślenicki,małopolskie,49.834608,19.9384283,30,,,881551517,
288,Klub Senior+ — Sułkowice,Klub Senior+,Klub Senior+,os. Zielona 51,Sułkowice,32-440,myślenicki,małopolskie,49.8548136,19.7957326,15,,,"12 273 20 02, 603 120 044",
304,Klub Senior+ — Wiśniowa,Klub Senior+,Klub Senior+,Wiśniowa 474,Wiśniowa,32-412,myślenicki,małopolskie,49.7864463,20.1183126,20,,,"721 018 835, 661 953 483",
